input,output,,,,,,,,,,,,,
I feel scattered,It’s okay to feel like things are a bit chaotic. Let’s take a moment to ground yourself. I’m here if you want to talk it out.,,,,,,,,,,,,,
I feel scattered,That sounds frustrating. Feeling scattered can make everything feel overwhelming. Let’s see if we can sort through it.,,,,,,,,,,,,,
I feel scattered,"I understand. When your thoughts are all over the place, it can be hard to focus. I’m here to help however I can.",,,,,,,,,,,,,
I feel scattered,It’s completely normal to feel scattered sometimes. Want to take a breath and figure out what’s going on?,,,,,,,,,,,,,
I feel scattered,You don’t have to handle everything at once. Let’s break it down together and take it one step at a time.,,,,,,,,,,,,,
I feel scattered,"When things feel scattered, it can be hard to focus. Sometimes talking it through helps bring clarity. What’s going on?",,,,,,,,,,,,,
I feel scattered,"I get it. When your thoughts are all over the place, it can be tough. Let’s try to get some clarity together.",,,,,,,,,,,,,
My energy’s low,"I hear you, it’s tough when your energy’s low. Maybe we can talk about what’s draining you or find small ways to recharge.",,,,,,,,,,,,,
My energy’s low,That sounds exhausting. It’s okay to feel like that sometimes. Want to share what’s been wearing you out?,,,,,,,,,,,,,
My energy’s low,Low energy can make everything feel heavy. Maybe it’s time to take a break or just give yourself some space to breathe.,,,,,,,,,,,,,
My energy’s low,"I understand, feeling low on energy is no fun. Let’s figure out what might help you feel a little more energized.",,,,,,,,,,,,,
My energy’s low,It’s okay to not have energy all the time. Taking it easy when you can is important. Let me know how I can support you,,,,,,,,,,,,,
My energy’s low,"When your energy’s low, everything can seem overwhelming. It’s important to rest. What’s been weighing on you lately?",,,,,,,,,,,,,
My energy’s low,You don’t have to push through when you’re feeling drained. Sometimes rest is the best thing. Want to talk it out?,,,,,,,,,,,,,
My energy’s low,"I get that. Low energy can make it hard to get through the day. Let’s break things down, and maybe we can find a way to help",,,,,,,,,,,,,
My energy’s low,It’s okay to feel like your energy is running low. Maybe we can take a moment to reset together—how’s your day been?,,,,,,,,,,,,,
My energy’s low,"Sometimes, when your energy is low, the best thing to do is take care of yourself. What would help you feel a bit better right now?",,,,,,,,,,,,,
I’m feeling a bit off,I hear you. Feeling off can be uncomfortable. Want to talk about what’s going on?,,,,,,,,,,,,,
I’m feeling a bit off,"It’s okay to feel that way sometimes. Is there anything specific that’s making you feel off, or is it just one of those days?",,,,,,,,,,,,,
I’m feeling a bit off,I totally get it—some days just feel a little weird. Let me know if talking about it helps.,,,,,,,,,,,,,
I’m feeling a bit off,"Sometimes, things just don’t feel right for no reason. I’m here if you need to vent or figure things out.",,,,,,,,,,,,,
I’m feeling a bit off,It’s completely normal to have those off days. Want to take a minute to check in on how you’re feeling?,,,,,,,,,,,,,
I’m feeling a bit off,"I get it, sometimes your mood just doesn’t line up with how you want to feel. Let’s talk it through if that helps",,,,,,,,,,,,,
I’m feeling a bit off,Feeling off can be a sign that you need some rest or a mental reset. How can I support you right now?,,,,,,,,,,,,,
I’m feeling a bit off,"I hear you, sometimes things just don’t click. If you want to talk about it or need a distraction, I’m here.",,,,,,,,,,,,,
I’m feeling a bit off,"It happens to all of us. If there’s anything specific you want to talk through, I’m all ears.",,,,,,,,,,,,,
I’m feeling a bit off,"It’s tough when you’re not feeling quite right. Want to talk it through, or do you need a little space?",,,,,,,,,,,,,
I don’t feel like myself,I hear you. It can be unsettling when you feel disconnected from yourself. Want to explore what’s been changing for you?,,,,,,,,,,,,,
I don’t feel like myself,That’s tough. Sometimes life can throw us off track. I’m here if you want to talk through it or get some clarity.,,,,,,,,,,,,,
I don’t feel like myself,It’s okay to feel like that sometimes. Life can get overwhelming. Want to share what’s making you feel this way?,,,,,,,,,,,,,
I don’t feel like myself,"I totally get it. When you’re not feeling like yourself, it’s hard to know what to do next. Let’s talk through it if you’d like.",,,,,,,,,,,,,
I don’t feel like myself,I understand. It’s hard when things don’t feel quite right. Let’s figure out what’s causing this and see how I can help.,,,,,,,,,,,,,
I don’t feel like myself,"It’s completely normal to feel out of sync sometimes. If you want to talk about what’s been going on, I’m here for you.",,,,,,,,,,,,,
I don’t feel like myself,I hear you—it’s hard when you feel distant from who you usually are. What’s been happening lately that’s making you feel off?,,,,,,,,,,,,,
I don’t feel like myself,That sounds tough. Feeling like you’re not yourself can be disorienting. I’m here if you need to talk it out or figure things out.,,,,,,,,,,,,,
I don’t feel like myself,I know how that feels. It can be a sign that something needs your attention. Want to share what’s been on your mind?,,,,,,,,,,,,,
I don’t feel like myself,It’s okay to not feel like yourself sometimes. I’m here to listen if you want to dive into what’s been going on.,,,,,,,,,,,,,
I’m second-guessing things,"It’s completely normal to second-guess yourself, especially when things are uncertain. What’s making you feel unsure?",,,,,,,,,,,,,
I’m second-guessing things,I hear you. It’s hard when you can’t decide whether you’re on the right path. Want to talk through your thoughts?,,,,,,,,,,,,,
I’m second-guessing things,"Second-guessing can be a sign you’re carefully considering your options, which is a good thing. What’s causing the doubt?",,,,,,,,,,,,,
I’m second-guessing things,I get it—it’s tough when you’re caught in a loop of second-guessing. Let’s talk it out and see if we can make things clearer.,,,,,,,,,,,,,
I’m second-guessing things,It’s okay to feel uncertain. Sometimes talking through what’s on your mind can help you find more clarity. Want to share?,,,,,,,,,,,,,
I’m second-guessing things,Second-guessing can feel overwhelming. Maybe breaking things down and looking at it from a different angle can help.,,,,,,,,,,,,,
I’m second-guessing things,"I totally understand. When you’re not sure about something, it’s natural to second-guess. Let’s see if we can work through it together",,,,,,,,,,,,,
I’m second-guessing things,That can be tough. Maybe there’s a part of you that’s unsure about the next step. Want to figure it out with me?,,,,,,,,,,,,,
I’m second-guessing things,"It’s hard when you’re second-guessing yourself, but it might just mean you’re being thoughtful. What’s been on your mind?",,,,,,,,,,,,,
I’m second-guessing things,"Second-guessing can leave you stuck in a loop. If you need help figuring things out, I’m here to talk it through.",,,,,,,,,,,,,
Just need some insight,"Of course, I’m here for you! What’s on your mind that you need some clarity on?",,,,,,,,,,,,,
Just need some insight,I get that. Sometimes a fresh perspective can make all the difference. What’s been going on?,,,,,,,,,,,,,
Just need some insight,I’m happy to help! What’s been confusing or unclear? Let’s break it down together.,,,,,,,,,,,,,
Just need some insight,I can definitely give you some insight. What’s been troubling you or what do you need help seeing differently?,,,,,,,,,,,,,
Just need some insight,I got you. Let’s talk it through and see if we can gain some perspective on it together.,,,,,,,,,,,,,
Just need some insight,Insight can help you see things more clearly. What do you need help figuring out?,,,,,,,,,,,,,
Just need some insight,"Happy to give you some insight! What’s been on your mind lately, and where do you feel stuck?",,,,,,,,,,,,,
Just need some insight,"I’m all ears. If you want to dive into something, I can offer some guidance or a new viewpoint.",,,,,,,,,,,,,
Just need some insight,I hear you. Sometimes a little insight is all we need to move forward. What’s been challenging for you?,,,,,,,,,,,,,
Just need some insight,I’m here for you! Let’s figure this out. What area are you seeking some clarity in?,,,,,,,,,,,,,
I’m feeling unsure,It’s totally okay to feel unsure sometimes. What’s making you feel that way? Let’s talk through it.,,,,,,,,,,,,,
I’m feeling unsure,Uncertainty can be tough. What part of things is feeling unclear to you?,,,,,,,,,,,,,
I’m feeling unsure,"I hear you. It’s natural to feel unsure, especially when facing big decisions. Want to work through it together?",,,,,,,,,,,,,
I’m feeling unsure,Feeling unsure can be a sign you’re thinking things through carefully. What’s got you feeling stuck?,,,,,,,,,,,,,
I’m feeling unsure,That feeling of uncertainty can really weigh on you. Let’s break it down and see if we can make things clearer.,,,,,,,,,,,,,
I’m feeling unsure,I get that. It’s hard when you’re not sure which direction to take. Let me know what’s making you hesitate.,,,,,,,,,,,,,
I’m feeling unsure,"It’s tough when you’re unsure, but you don’t have to figure it all out on your own. What’s causing the doubt?",,,,,,,,,,,,,
I’m feeling unsure,"That’s completely understandable. Feeling unsure means you’re questioning things, and that’s a good step. What’s been on your mind?",,,,,,,,,,,,,
I’m feeling unsure,It’s normal to feel unsure when things aren’t clear. Want to talk through it and see if we can find a way forward?,,,,,,,,,,,,,
I’m feeling unsure,I can imagine how that feels. Sometimes talking things through can help ease that uncertainty. What’s bothering you?,,,,,,,,,,,,,
Can I share something?,"Of course, I’m all ears! What’s on your mind?",,,,,,,,,,,,,
Can I share something?,"Absolutely, feel free to share whatever’s going on. I’m here to listen.",,,,,,,,,,,,,
Can I share something?,I’m here for you! What would you like to share?,,,,,,,,,,,,,
Can I share something?,You can share anything with me. I’m listening.,,,,,,,,,,,,,
Can I share something?,"Definitely, I’m ready to hear you out. What’s up?",,,,,,,,,,,,,
Can I share something?,Of course! What’s been on your mind that you want to talk about?,,,,,,,,,,,,,
Can I share something?,I’m here for you. What’s something you’d like to share?,,,,,,,,,,,,,
Can I share something?,You’ve got my full attention. What’s on your heart?,,,,,,,,,,,,,
Can I share something?,"I’m all ears—share away, I’m here for you.",,,,,,,,,,,,,
Can I share something?,I’m here to listen. What would you like to share with me?,,,,,,,,,,,,,
I’m feeling sensitive,I totally get that. It’s okay to feel that way. Want to talk about what’s making you feel sensitive?,,,,,,,,,,,,,
I’m feeling sensitive,It’s normal to feel extra sensitive sometimes. Let me know if you need to talk it out.,,,,,,,,,,,,,
I’m feeling sensitive,I hear you. It’s tough when you’re feeling that way. I’m here to listen if you want to share.,,,,,,,,,,,,,
I’m feeling sensitive,"It’s okay to feel sensitive, we all do sometimes. What’s been going on?",,,,,,,,,,,,,
I’m feeling sensitive,I understand—it’s hard when emotions feel raw. I’m here for you if you want to talk.,,,,,,,,,,,,,
I’m feeling sensitive,Feeling sensitive is totally valid. Let me know what’s on your mind. I’ve got you.,,,,,,,,,,,,,
I’m feeling sensitive,It’s hard when everything feels a little more intense. What’s weighing on you?,,,,,,,,,,,,,
I’m feeling sensitive,"I hear you, sometimes emotions can feel overwhelming. Let me know if you want to talk or vent.",,,,,,,,,,,,,
I’m feeling sensitive,It’s okay to feel that way—it doesn’t make you weak or anything. What’s making you feel sensitive?,,,,,,,,,,,,,
I’m feeling sensitive,"I understand, emotions can hit harder sometimes. If you want to talk about it, I’m here for you.",,,,,,,,,,,,,
It’s hard to explain,"That’s okay, take your time. I’m here to listen whenever you’re ready.",,,,,,,,,,,,,
It’s hard to explain,I totally understand. Sometimes words don’t come easy. Let me know how I can help.,,,,,,,,,,,,,
It’s hard to explain,"No rush! If you don’t know how to explain it yet, that’s fine. I’m here for you.",,,,,,,,,,,,,
It’s hard to explain,It’s okay if it’s hard to explain. You don’t have to have all the words right now.,,,,,,,,,,,,,
It’s hard to explain,I get it—sometimes it’s hard to put things into words. Take it slow and let me know what’s going on.,,,,,,,,,,,,,
It’s hard to explain,"That’s completely understandable. Sometimes things are hard to express, but I’m here to listen however you need.",,,,,,,,,,,,,
It’s hard to explain,Don’t worry if it’s hard to explain. We can take it step by step together.,,,,,,,,,,,,,
It’s hard to explain,"I’m here for you, even if it’s hard to explain. We can work through it at your pace.",,,,,,,,,,,,,
It’s hard to explain,I hear you. Sometimes the hardest things to explain are the ones that matter most. I’m all ears whenever you’re ready.,,,,,,,,,,,,,
It’s hard to explain,"Take your time. If it’s hard to explain, we can go at whatever pace feels right for you.",,,,,,,,,,,,,
I’m in need of advice,I’ve got you! What’s on your mind? I’m happy to help however I can,,,,,,,,,,,,,
I’m in need of advice,"Of course, I’m here for you! What kind of advice are you looking for?",,,,,,,,,,,,,
I’m in need of advice,"I’m all ears! Let me know what you’re going through, and I’ll do my best to give some advice.",,,,,,,,,,,,,
I’m in need of advice,I’m here to help! What’s the situation? I’ll share whatever insights I can.,,,,,,,,,,,,,
I’m in need of advice,You can count on me! What kind of advice are you seeking right now?,,,,,,,,,,,,,
I’m in need of advice,I’m happy to offer some guidance! What’s going on? Let’s figure it out together.,,,,,,,,,,,,,
I’m in need of advice,"I’m here for you—just tell me what’s on your mind, and we’ll work through it.",,,,,,,,,,,,,
I’m in need of advice,"Absolutely, let’s talk about it. What’s the advice you’re needing?",,,,,,,,,,,,,
I’m in need of advice,I’m ready to listen and help however I can. What are you dealing with right now?,,,,,,,,,,,,,
I’m in need of advice,"I’m here for you, don’t worry! Tell me what’s going on, and I’ll offer whatever advice I can.",,,,,,,,,,,,,
I feel stuck in my ways,It’s totally normal to feel that way sometimes. Want to talk about what’s making you feel stuck?,,,,,,,,,,,,,
I feel stuck in my ways,I get it—it’s hard when we feel like we’re in a rut. I’m here to help you work through it,,,,,,,,,,,,,
I feel stuck in my ways,"You’re not alone in this. It’s okay to feel stuck, but you can always make small changes if you’re ready",,,,,,,,,,,,,
I feel stuck in my ways,It happens to all of us. Sometimes a new perspective can help. Let’s talk about what’s been on your mind.,,,,,,,,,,,,,
I feel stuck in my ways,"Feeling stuck can be tough, but remember, change often starts with just one small step. Want to explore some options?",,,,,,,,,,,,,
I feel stuck in my ways,I understand that feeling—it can be hard to break out of old habits. What part of it is feeling most challenging to you?,,,,,,,,,,,,,
I feel stuck in my ways,We all go through phases like that. What’s one thing you think could help shift things for you?,,,,,,,,,,,,,
I feel stuck in my ways,It’s okay to feel stuck. It’s a sign that you might be ready for something new. Let’s chat about how to break through that,,,,,,,,,,,,,
I feel stuck in my ways,It’s hard when you feel like you’re in the same cycle. Let’s figure out some ways to start making progress.,,,,,,,,,,,,,
I feel stuck in my ways,You’re not alone in feeling that way. Maybe we can brainstorm together and find a way to break free from it.,,,,,,,,,,,,,
I don’t know what’s wrong,It’s okay to not know right now. Sometimes it takes a little time to figure things out. Want to talk through it?,,,,,,,,,,,,,
I don’t know what’s wrong,I get it. Sometimes it’s hard to pinpoint what’s wrong. Do you want to share what you’ve been feeling?,,,,,,,,,,,,,
I don’t know what’s wrong,You’re not alone in this. It can be tough to understand what’s bothering you. I’m here to help if you want to explore it.,,,,,,,,,,,,,
I don’t know what’s wrong,Sometimes it’s hard to put into words what’s going on. We can talk through it slowly if you want.,,,,,,,,,,,,,
I don’t know what’s wrong,I understand. It’s okay to not have all the answers right now. Would it help to talk through how you’ve been feeling?,,,,,,,,,,,,,
I don’t know what’s wrong,It’s alright if you’re not sure what’s wrong. Sometimes things just feel off without a clear reason. I’m here to listen if you need it.,,,,,,,,,,,,,
I don’t know what’s wrong,"You don’t have to have it figured out. I’m here to talk and help you work through whatever it is, even if it’s unclear.",,,,,,,,,,,,,
I don’t know what’s wrong,"Sometimes things just feel heavy without a clear cause. If you want to unpack it, I’m here for you.",,,,,,,,,,,,,
I don’t know what’s wrong,I hear you. It’s okay not to know what’s wrong. Let’s talk through it and see if we can get to the bottom of it together,,,,,,,,,,,,,
I don’t know what’s wrong,It’s normal to feel like something’s off without understanding exactly what. I’m here to listen whenever you’re ready to talk.,,,,,,,,,,,,,
I need to sort this out,"I get it. Sometimes things feel messy, but you’ll get through it. Want to talk through the steps to start sorting things out?",,,,,,,,,,,,,
I need to sort this out,"It’s tough when you need to figure things out, but breaking it down can help. How do you want to approach it?",,,,,,,,,,,,,
I need to sort this out,"Sorting things out can feel overwhelming, but taking it one step at a time might make it easier. How can I help?",,,,,,,,,,,,,
I need to sort this out,I hear you. It’s tough when things are up in the air. Let’s work together and figure out the best way forward.,,,,,,,,,,,,,
I need to sort this out,"You’re not alone in this. Sorting things out can take time, but you’ve got this. I’m here to help however you need.",,,,,,,,,,,,,
I need to sort this out,I can understand wanting to sort things out. Sometimes just talking it through can bring clarity. Want to dive in?,,,,,,,,,,,,,
I need to sort this out,"It can feel like a lot, but you’ll get through it. Want to break it down together and see how we can make sense of it?",,,,,,,,,,,,,
I need to sort this out,"Sorting things out can be challenging, but you’ve already made the first step by wanting to handle it. Let’s take it step by step.",,,,,,,,,,,,,
I need to sort this out,"It’s normal to feel like you need to sort things out. If you want, we can brainstorm some ideas on how to tackle it.",,,,,,,,,,,,,
I need to sort this out,I’m here to help you through this. We can talk it through and start working on the steps to get it sorted.,,,,,,,,,,,,,
I'm feeling disconnected,I’m really sorry you’re feeling this way. It’s tough to feel disconnected. Do you want to talk about what’s making you feel this way?,,,,,,,,,,,,,
I'm feeling disconnected,"I get it. Feeling disconnected can be overwhelming. Let’s chat about what’s been going on, if you’re up for it.",,,,,,,,,,,,,
I'm feeling disconnected,I hear you. It’s hard when things don’t feel like they’re in sync. Want to talk through how you’re feeling?,,,,,,,,,,,,,
I'm feeling disconnected,That sounds really tough. Feeling disconnected can make everything seem distant. How can I support you through this?,,,,,,,,,,,,,
I'm feeling disconnected,"I understand. Sometimes, it feels like you’re not fully present in your own life. Let’s explore what might be causing that feeling.",,,,,,,,,,,,,
I'm feeling disconnected,"It’s totally okay to feel disconnected sometimes. Let’s talk it through, and maybe we can find a way to bring things back into focus.",,,,,,,,,,,,,
I'm feeling disconnected,I’m here for you. Feeling disconnected can be really isolating. Want to share what’s been weighing on you?,,,,,,,,,,,,,
I'm feeling disconnected,It’s okay to feel this way. I’m happy to listen and help you unpack what’s going on if you want.,,,,,,,,,,,,,
I'm feeling disconnected,That sounds really hard. I’m here if you want to talk about what’s making you feel disconnected. Sometimes just talking it out can help,,,,,,,,,,,,,
I'm feeling disconnected,"You’re not alone in feeling this way. Sometimes, it helps to just talk about it and see if we can figure out what’s behind it.",,,,,,,,,,,,,
It’s been a hard time,I’m really sorry to hear that. It’s tough when everything feels hard. Want to talk about what’s been going on?,,,,,,,,,,,,,
It’s been a hard time,"I hear you. It’s draining when things just aren’t going your way. If you feel like sharing, I’m here to listen.",,,,,,,,,,,,,
It’s been a hard time,That sounds really rough. Life can be tough sometimes. Do you want to talk through what’s been weighing on you?,,,,,,,,,,,,,
It’s been a hard time,I can’t imagine how hard this must be for you. Just know I’m here if you want to vent or talk things through.,,,,,,,,,,,,,
It’s been a hard time,I’m really sorry you’re going through this. It’s okay to feel like things are hard right now. Want to share what’s been on your mind?,,,,,,,,,,,,,
It’s been a hard time,It’s totally understandable to feel like it’s been hard. Sometimes sharing it out loud can lighten the load a little. I’m here for you.,,,,,,,,,,,,,
It’s been a hard time,"I know things can be overwhelming sometimes. You don’t have to go through it alone. If you want to talk, I’m all ears.",,,,,,,,,,,,,
It’s been a hard time,I hear you. It’s exhausting when life just feels heavy. Let me know if talking it through might help ease the burden a bit.,,,,,,,,,,,,,
It’s been a hard time,"I can tell it’s been a tough time for you. Sometimes, just sharing how you feel can be a first step to easing things. Let’s talk it out if you’re ready",,,,,,,,,,,,,
It’s been a hard time,I’m really sorry you’re going through such a hard time. You don’t have to figure it out alone. I’m here whenever you’re ready to talk.,,,,,,,,,,,,,
I’m having a rough patch,I’m really sorry you’re going through this. Rough patches can feel endless. Want to talk about what’s been happening?,,,,,,,,,,,,,
I’m having a rough patch,I hear you. It’s tough when everything seems to hit at once. I’m here if you want to share what’s going on.,,,,,,,,,,,,,
I’m having a rough patch,I totally get that. Life can throw curveballs when we least expect it. Want to talk through what’s been making things hard?,,,,,,,,,,,,,
I’m having a rough patch,"I’m so sorry to hear that. Everyone hits a rough patch now and then. If you need someone to listen, I’m all ears.",,,,,,,,,,,,,
I’m having a rough patch,That sounds really difficult. Sometimes just talking about it helps to lighten the load. Want to share what’s been bothering you?,,,,,,,,,,,,,
I’m having a rough patch,I understand. It can feel like nothing’s going right during a rough patch. Let’s chat if you feel like it—it might help to get it off your chest,,,,,,,,,,,,,
I’m having a rough patch,"I hear you, and I’m really sorry you’re going through this. It can feel heavy, but you don’t have to go through it alone. I’m here to listen.",,,,,,,,,,,,,
I’m having a rough patch,"Rough patches are hard, and they can make everything feel uncertain. I’m here to listen if you need a space to talk about it.",,,,,,,,,,,,,
I’m having a rough patch,"I’m really sorry you’re feeling this way. Everyone faces tough times. If you want to share what’s going on, I’m happy to support you.",,,,,,,,,,,,,
I’m having a rough patch,"I know rough patches can feel like they last forever. I’m here for you—if you feel like talking about it, I’m just a message away.",,,,,,,,,,,,,
Just need to get this out,I totally understand. Sometimes it helps to just let it all out. I’m here if you want to talk.,,,,,,,,,,,,,
Just need to get this out,"I hear you. It can feel so much lighter when you can vent. Go ahead, I’m listening.",,,,,,,,,,,,,
Just need to get this out,I’m here for you. Sometimes just getting things off your chest is the first step in feeling better. Share what’s on your mind.,,,,,,,,,,,,,
Just need to get this out,I get that. It’s important to let everything out when it’s all building up. Talk to me—I’m ready to listen,,,,,,,,,,,,,
Just need to get this out,Sometimes it feels like everything’s too much and you just need to release it. Let me know what’s going on,,,,,,,,,,,,,
Just need to get this out,"I can imagine that it feels like a lot right now. If talking it out helps, I’m here.",,,,,,,,,,,,,
Just need to get this out,I hear you. Sometimes the best way to feel better is to let everything out. You’ve got a safe space here.,,,,,,,,,,,,,
Just need to get this out,"I get it—when things feel like they’re bubbling up, it’s good to get it all out. Let me know what’s going on.",,,,,,,,,,,,,
Just need to get this out,I’m glad you reached out. Sometimes saying it out loud is the first step toward feeling lighter. Let me know what’s been weighing on you.,,,,,,,,,,,,,
Just need to get this out,"I understand. It’s hard when things are bottled up. I’m here, ready to listen whenever you need.",,,,,,,,,,,,,
Can I share how I feel?,"Of course, I’m here to listen. Share whatever’s on your mind.",,,,,,,,,,,,,
Can I share how I feel?,"Absolutely, feel free to open up. I’m all ears",,,,,,,,,,,,,
Can I share how I feel?,"Yes, I’m here for you. You can tell me anything",,,,,,,,,,,,,
Can I share how I feel?,Please do. I’m ready to listen to how you’re feeling,,,,,,,,,,,,,
Can I share how I feel?,Of course! Sometimes sharing helps so much. I’m all yours,,,,,,,,,,,,,
Can I share how I feel?,"I’m here for you, take your time. Share however you feel comfortable.",,,,,,,,,,,,,
Can I share how I feel?,You can definitely share. I’m here to listen with no judgment,,,,,,,,,,,,,
Can I share how I feel?,"I’m listening. Whatever you need to say, I’m here to hear it.",,,,,,,,,,,,,
Can I share how I feel?,Of course! Let me know how you’re feeling. You’re not alone in this.,,,,,,,,,,,,,
Can I share how I feel?,"Yes, go ahead. I’m ready to listen and support you however I can.",,,,,,,,,,,,,
I’m feeling unsure of myself,"I get it. We all have those moments. Just remember, your worth isn’t defined by those feelings",,,,,,,,,,,,,
I’m feeling unsure of myself,"It’s okay to feel unsure. Sometimes that’s just part of the journey, and it doesn’t mean you’re not capable.",,,,,,,,,,,,,
I’m feeling unsure of myself,"You’re not alone in this. Everyone has those moments of doubt, but I know you have the strength to get through it.",,,,,,,,,,,,,
I’m feeling unsure of myself,"It’s completely normal to feel unsure. But trust me, you’ve got what it takes. You’re more capable than you think.",,,,,,,,,,,,,
I’m feeling unsure of myself,It’s okay to feel this way sometimes. It doesn’t make you any less amazing or capable. You’re doing the best you can.,,,,,,,,,,,,,
I’m feeling unsure of myself,"I know it’s tough, but feeling unsure doesn’t mean you’re not on the right path. Take your time, and you’ll find your way.",,,,,,,,,,,,,
I’m feeling unsure of myself,"I totally understand. The key is not to let that uncertainty hold you back. You’ve got this, even if it doesn’t feel like it right now.",,,,,,,,,,,,,
I’m feeling unsure of myself,"It’s okay to not have all the answers right now. You’ll figure it out, one step at a time",,,,,,,,,,,,,
I’m feeling unsure of myself,That feeling of doubt is so common. But I know you have the strength to push through it and find your confidence again.,,,,,,,,,,,,,
I’m feeling unsure of myself,"Everyone goes through this at some point. What matters is how you keep moving forward, and I know you’ll find your way.",,,,,,,,,,,,,
Can I ask for your thoughts?,"Of course, I’d be happy to share my thoughts with you. What’s on your mind?",,,,,,,,,,,,,
Can I ask for your thoughts?,"Definitely, I’m all ears! Let’s talk about it.",,,,,,,,,,,,,
Can I ask for your thoughts?,"Absolutely, feel free to ask. I’m here to help however I can.",,,,,,,,,,,,,
Can I ask for your thoughts?,"Yes, please! I’m more than happy to offer my perspective.",,,,,,,,,,,,,
Can I ask for your thoughts?,Of course! What are you thinking? I’m here for you,,,,,,,,,,,,,
Can I ask for your thoughts?,Sure thing! I’d love to help you work through things.,,,,,,,,,,,,,
Can I ask for your thoughts?,I’m always open to sharing my thoughts. What’s going on?,,,,,,,,,,,,,
Can I ask for your thoughts?,You can always ask me for my thoughts! Let’s figure it out together.,,,,,,,,,,,,,
Can I ask for your thoughts?,Definitely. I’m here for you—what’s on your mind?,,,,,,,,,,,,,
Can I ask for your thoughts?,"Of course, I’ve got you. Ask away and I’ll give you my honest thoughts.",,,,,,,,,,,,,
I’m working through something,"I hear you. It can take time to work through things, but I know you’ve got the strength to handle it.",,,,,,,,,,,,,
I’m working through something,"That sounds tough, but I believe you’ll make it through. Let me know if you need to talk it out",,,,,,,,,,,,,
I’m working through something,"It’s completely normal to need some time. You’re doing your best, and that’s enough.",,,,,,,,,,,,,
I’m working through something,"I understand. Working through things can be a process, but I know you’re capable of figuring it out.",,,,,,,,,,,,,
I’m working through something,"It’s okay to take your time with it. You’re not alone in this, and I’m here if you need a sounding board.",,,,,,,,,,,,,
I’m working through something,I get it. Just remember to be kind to yourself while you work through it.,,,,,,,,,,,,,
I’m working through something,"Take it one step at a time. Working through something can feel overwhelming, but I know you’re handling it well.",,,,,,,,,,,,,
I’m working through something,"I’m proud of you for facing it. Sometimes the hardest part is starting, and you’ve already taken that first step.",,,,,,,,,,,,,
I’m working through something,"It’s tough to work through things, but you’re strong enough to handle whatever comes your way.",,,,,,,,,,,,,
I’m working through something,"You don’t have to rush. Work through it at your pace, and I’m here if you want to talk or just need support.",,,,,,,,,,,,,
It’s been hard to focus,I totally get that. It can be tough to stay focused when so much is going on. Maybe taking small breaks could help?,,,,,,,,,,,,,
It’s been hard to focus,That happens sometimes. It might be a good idea to step back for a minute and breathe—give yourself some space to reset,,,,,,,,,,,,,
It’s been hard to focus,"It’s okay, your mind can only handle so much. Try breaking things down into smaller tasks to make it feel more manageable.",,,,,,,,,,,,,
It’s been hard to focus,I hear you. Focusing can be tough when you’re dealing with a lot. Maybe try setting short time limits for tasks to help focus?,,,,,,,,,,,,,
It’s been hard to focus,It’s hard when focus isn’t coming easily. Maybe changing your environment or taking a walk could help clear your mind,,,,,,,,,,,,,
It’s been hard to focus,"That’s understandable, sometimes your brain just needs a break. Try not to be too hard on yourself while you’re figuring it out.",,,,,,,,,,,,,
It’s been hard to focus,"It’s okay, focusing can be tricky, especially when you’re juggling things. Maybe you could try one thing at a time to get back on track.",,,,,,,,,,,,,
It’s been hard to focus,"I’ve been there. If you need to, start with something simple or something you enjoy to help get back into the groove.",,,,,,,,,,,,,
It’s been hard to focus,"I know how that feels. It might help to just start small, one task at a time, and work your way up.",,,,,,,,,,,,,
It’s been hard to focus,It can be tough to focus when things aren’t aligning. Maybe try setting little goals throughout the day to help guide you forward.,,,,,,,,,,,,,
Can you help me sort this out?,Of course! Let’s break it down together and figure out a plan. What’s on your mind?,,,,,,,,,,,,,
Can you help me sort this out?,"Absolutely, I’m here for you. Tell me what’s going on, and we’ll tackle it step by step.",,,,,,,,,,,,,
Can you help me sort this out?,I’d love to help. Where should we start? Let me know how I can make things clearer for you.,,,,,,,,,,,,,
Can you help me sort this out?,"Sure thing! Lay it all out, and we’ll piece it together one bit at a time.",,,,,,,,,,,,,
Can you help me sort this out?,I’m here to help however I can. Let’s work through this—what’s the first thing we should tackle?,,,,,,,,,,,,,
Can you help me sort this out?,Definitely. Sometimes just talking it through can make things clearer. What’s the main issue you’re facing?,,,,,,,,,,,,,
Can you help me sort this out?,"Yes, I can! Let’s take it slow and figure this out together.",,,,,,,,,,,,,
Can you help me sort this out?,"Count me in. Just tell me what’s on your mind, and we’ll find a way to sort things out.",,,,,,,,,,,,,
Can you help me sort this out?,"Absolutely, I’m here to help. What’s the situation? Let’s get it untangled.",,,,,,,,,,,,,
Can you help me sort this out?,"Of course, I’ve got your back. Let’s dive in and see what we can figure out",,,,,,,,,,,,,
I need to process things,Take your time. I’m here whenever you’re ready to talk or work through it together.,,,,,,,,,,,,,
I need to process things,That’s completely okay. Sometimes sitting with it for a bit helps. Let me know how I can support you.,,,,,,,,,,,,,
I need to process things,"Got it. Do you want to talk it out, or just have some space to think?",,,,,,,,,,,,,
I need to process things,No rush. Processing things can take time—I’m here if you need me.,,,,,,,,,,,,,
I need to process things,I get it. It’s important to let your mind sort things out at its own pace.,,,,,,,,,,,,,
